Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,Avg VTAT,Avg CTAT,Canceled Rides by Customer,Reason for Canceling by Customer,Canceled Rides by Driver,Reason for Canceling by Driver,Incomplete Rides,Incomplete Rides Reason,Ride Distance,Driver Ratings,Customer Rating,Booking Value
2025-02-06,01:44:00,CNR4347446562,Success,CUST11909,eBike,Kanakapura Road,Varthur,12.2323117234128,4.58885443330108,0,,0,,0,,27.8925520727028,3.3,4.6,1555
2025-02-26,21:04:00,CNR5470090157,Success,CUST95104,Auto,Brookefield,HSR Layout,10.9256445649317,16.9156160068257,0,,0,,0,,25.0330224472459,3.3,3.5,251
2025-02-17,13:39:00,CNR9875247303,Success,CUST96661,Prime Sedan,Girinagar,Banashankari,4.93361096622868,7.94537265145478,0,,0,,0,,15.6480662983264,4.7,3.8,1995
2025-02-22,07:02:00,CNR5977430148,Success,CUST53655,Mini,Girinagar,Fraser Town,6.44477071154821,13.755680529583,0,,0,,0,,27.0916000677952,4.1,3.9,268
2025-02-06,10:42:00,CNR6306101256,Success,CUST30294,eBike,Basaveshwaranagar,Jakkur,3.56524873931423,16.0745745056716,0,,0,,0,,17.9728669396072,4.5,4.8,1706
2025-02-09,18:35:00,CNR8811135045,Incomplete,CUST99818,Prime Sedan,Bellandur,Kaggadasapura,,,0,,0,,1,Other Issue,,,,
2025-02-14,22:19:00,CNR7375244752,Success,CUST98784,Auto,Shantinagar,Jakkur,11.0124406125318,9.18614283337169,0,,0,,0,,17.7366236225231,3,4,117
2025-02-28,11:13:00,CNR7013388149,Success,CUST65882,Prime Plus,BTM Layout,MG Road,9.36837510086777,11.7011267226303,0,,0,,0,,12.1469996287133,4.6,4.4,256
2025-02-24,19:16:00,CNR2615667356,Driver Canceled,CUST52444,Auto,Bellandur,Jakkur,,,0,,1,,0,,,,,
2025-02-11,01:59:00,CNR4877765669,Success,CUST96413,eBike,Electronic City,Bannerghatta,2.73733805458679,17.1872702200972,0,,0,,0,,13.3481332641943,4.9,3.7,290
2025-02-13,12:59:00,CNR1241119092,Customer Canceled,CUST71258,Prime Sedan,Hoodi,Kaggadasapura,,,1,AC is not working,0,,0,,,,,
2025-02-21,05:49:00,CNR5724294666,Success,CUST18616,Prime Sedan,Kaggadasapura,Vijayanagar,5.31764040992773,9.19559472645713,0,,0,,0,,19.71030268636,3.2,3.9,337
2025-02-19,12:17:00,CNR9195279687,Driver Canceled,CUST56824,Bike,Marathahalli,Bagmane Tech Park,,,0,,1,,0,,,,,
2025-02-06,08:40:00,CNR1603650048,Success,CUST43421,Auto,Malleshwaram,Domlur,2.49245771869987,8.97122068995419,0,,0,,0,,19.78765077151,3.4,3.9,1984
2025-02-27,09:17:00,CNR3277485923,Success,CUST28626,Prime SUV,RT Nagar,Arekere,2.41451746646453,15.4845149563712,0,,0,,0,,22.4524848227565,4.6,4.9,1242
2025-02-14,02:12:00,CNR2630958241,Success,CUST66023,eBike,Arekere,Koramangala,10.2925941347795,2.91378031675451,0,,0,,0,,4.17108059696856,3.5,4,388
2025-02-25,15:27:00,CNR1013856763,Success,CUST60246,Bike,Kammanahalli,Basaveshwaranagar,5.22711842137486,12.791971926513,0,,0,,0,,25.5391098681853,4.2,4.5,373
2025-02-27,14:43:00,CNR2487447090,Incomplete,CUST41059,Prime SUV,CV Raman Nagar,Kalyan Nagar,,,0,,0,,1,Customer Demand,,,,
2025-02-04,04:17:00,CNR7914266857,Success,CUST55107,Bike,Jayanagar,Vidyaranyapura,12.1152305720422,8.70244209009981,0,,0,,0,,5.30096589099505,4.4,4.6,125
2025-02-11,08:08:00,CNR8543130127,Success,CUST59493,Bike,Marathahalli,BTM Layout,8.66499227326379,18.1672584813651,0,,0,,0,,19.9797373127859,3.4,3.6,367
2025-02-06,22:17:00,CNR6926954141,Incomplete,CUST98331,Prime SUV,Indiranagar,Ramamurthy Nagar,,,0,,0,,1,,,,,
2025-02-15,23:33:00,CNR6898704852,Success,CUST29217,Auto,Sadashivanagar,Sadashivanagar,7.34146852627109,15.1956439022844,0,,0,,0,,27.509576910917,3.6,5,321
2025-02-14,23:49:00,CNR4023522356,Success,CUST90859,Prime SUV,RT Nagar,Chikbanavara,2.15723651734653,14.0933754689292,0,,0,,0,,23.2260413270037,3.5,3.8,1716
2025-02-17,09:29:00,CNR5644379993,Driver Canceled,CUST32411,Auto,Kammanahalli,Vijayanagar,,,0,,1,Customer was coughing/sick,0,,,,,
2025-02-07,17:40:00,CNR4496347767,Success,CUST82855,eBike,Jayanagar,Shantinagar,6.28717654143861,13.2264408933186,0,,0,,0,,2.92396258873445,3.8,3.3,236
2025-02-18,12:05:00,CNR8246696047,Success,CUST79429,Bike,RT Nagar,Bellandur,6.68361401341408,15.3869606102563,0,,0,,0,,2.95151066631558,4,3.9,121
2025-02-12,16:01:00,CNR7306600688,Driver Canceled,CUST61054,eBike,Arekere,Hebbal,,,0,,1,,0,,,,,
2025-02-15,12:32:00,CNR3236465591,Success,CUST32589,Auto,Malleshwaram,Basavanagudi,2.30099153424411,3.96133273520295,0,,0,,0,,6.49603217549973,4.9,4.4,380
2025-02-06,21:20:00,CNR8703574749,Driver Canceled,CUST64361,Prime Plus,Domlur,Kanakapura Road,,,0,,1,,0,,,,,
2025-02-20,18:04:00,CNR2118990003,Success,CUST22542,Prime Plus,Koramangala,Ramamurthy Nagar,5.41020779656541,17.8127127136726,0,,0,,0,,15.288132786894,3,4.8,729
2025-02-25,06:42:00,CNR4153457255,Success,CUST26423,Prime SUV,CV Raman Nagar,CV Raman Nagar,4.44685176565931,14.2231407437729,0,,0,,0,,21.4382252525701,4,4.9,118
2025-02-28,00:43:00,CNR4443044510,Success,CUST48084,Prime Sedan,Fraser Town,Vijayanagar,12.0588989975366,7.92766593827986,0,,0,,0,,9.36088530959481,3.2,3.3,394
2025-02-28,02:59:00,CNR4162176095,Driver Canceled,CUST90904,Auto,Benson Town,Sarjapur,,,0,,1,,0,,,,,
2025-02-28,13:47:00,CNR3712450291,Success,CUST85811,Auto,Jakkur,Sadashivanagar,4.91576409893591,2.65071547717426,0,,0,,0,,26.5319711434227,3.9,4.2,414
2025-02-11,02:24:00,CNR8187405012,Driver Canceled,CUST18559,Prime Plus,Ramamurthy Nagar,Yelahanka,,,0,,1,Customer was coughing/sick,0,,,,,
2025-02-15,07:11:00,CNR4383530489,Success,CUST35248,Prime SUV,Arekere,Jakkur,6.8072998846802,15.9533231466118,0,,0,,0,,16.0293456871569,3.4,3.3,228
2025-02-18,10:07:00,CNR5138349820,Success,CUST17449,Prime Plus,Kammanahalli,Girinagar,4.2138247164384,6.02609427029774,0,,0,,0,,22.2140858758347,4.6,4.4,274
2025-02-18,13:46:00,CNR1203883057,Success,CUST11834,Prime Sedan,Basavanagudi,Benson Town,4.67437979918356,2.30093425454532,0,,0,,0,,12.2538492161251,4.1,4.8,313
2025-02-22,06:15:00,CNR5076862108,Incomplete,CUST21360,Bike,Bagmane Tech Park,Basaveshwaranagar,,,0,,0,,1,,,,,
2025-02-14,00:58:00,CNR3116964132,Driver Canceled,CUST46790,Prime Plus,Koramangala,Ulsoor,,,0,,1,Customer related issue,0,,,,,
2025-02-21,08:30:00,CNR6238425908,Driver Canceled,CUST39314,Prime SUV,Bannerghatta,Hoodi,,,0,,1,Customer related issue,0,,,,,
2025-02-10,01:58:00,CNR8089253973,Success,CUST88009,Mini,Sadashivanagar,Benson Town,9.86876430252418,5.1660070840469,0,,0,,0,,28.1206241626556,4.2,4.9,379
2025-02-11,21:37:00,CNR1369963174,Success,CUST25840,Prime Plus,Hebbal,Girinagar,14.2409266151442,10.3447304401661,0,,0,,0,,18.2801205888225,3.5,4.7,394
2025-02-22,02:40:00,CNR2925425422,Success,CUST17056,eBike,Jakkur,Vijayanagar,3.39752913769091,16.0204964511545,0,,0,,0,,18.0087412067345,4.6,3.6,356
2025-02-20,01:40:00,CNR2973529899,Driver Canceled,CUST31808,eBike,Indiranagar,Bommanahalli,,,0,,1,Personal & Car related issue,0,,,,,
2025-02-28,06:33:00,CNR3897186983,Driver Canceled,CUST83866,Prime SUV,Bagmane Tech Park,Vijayanagar,,,0,,1,Personal & Car related issue,0,,,,,
2025-02-17,23:58:00,CNR7391270736,Customer Canceled,CUST46636,Bike,RT Nagar,Ulsoor,,,1,AC is not working,0,,0,,,,,
2025-02-22,05:59:00,CNR4813741905,Customer Canceled,CUST23731,Mini,Bommanahalli,Shantinagar,,,1,Change of plans,0,,0,,,,,
2025-02-27,01:44:00,CNR5327287031,Customer Canceled,CUST12518,Bike,Arekere,Domlur,,,1,AC is not working,0,,0,,,,,
2025-02-22,04:20:00,CNR1667536740,Driver Canceled,CUST12746,Bike,Arekere,Nagavara,,,0,,1,Customer was coughing/sick,0,,,,,
2025-02-08,10:49:00,CNR1508967695,Success,CUST20019,Mini,RT Nagar,Yelahanka,8.59698265080706,17.5732989792203,0,,0,,0,,21.4199492618137,4.8,3.1,368
2025-02-09,05:12:00,CNR9728790655,Success,CUST44383,Prime Plus,Hennur,Malleshwaram,3.20164515532646,12.9436651509701,0,,0,,0,,14.3749601739788,4.8,3.8,362
2025-02-16,09:16:00,CNR5937970174,Success,CUST99352,Prime Sedan,Domlur,Vidyaranyapura,8.94989575867647,5.16709165534504,0,,0,,0,,13.105628156262,3.1,4.7,322
2025-02-28,00:38:00,CNR8504368359,Success,CUST47131,Auto,Nagavara,BTM Layout,12.9792404236335,15.3392499716643,0,,0,,0,,6.05079233468661,4.5,3.2,145
2025-02-09,18:18:00,CNR1011892668,Success,CUST88501,Mini,Electronic City,Bommanahalli,7.93377188829747,9.94717778000501,0,,0,,0,,21.9426976654,4.2,4.2,464
2025-02-02,14:35:00,CNR4541352981,Success,CUST16588,Prime Plus,Jayanagar,Yelahanka,9.48867850284903,17.5105300172037,0,,0,,0,,15.9654927244859,4,4.7,289
2025-02-12,19:56:00,CNR6660926572,Driver Canceled,CUST77018,Mini,Vijayanagar,Whitefield,,,0,,1,,0,,,,,
2025-02-27,05:53:00,CNR6331712019,Incomplete,CUST83167,Mini,Malleshwaram,Hulimavu,,,0,,0,,1,Vehicle Breakdown,,,,
2025-02-08,13:53:00,CNR8896192663,Success,CUST15601,Prime SUV,Richmond Town,Bagmane Tech Park,7.46699261564823,18.1847610860982,0,,0,,0,,19.1663547516305,4.8,4.1,278
2025-02-21,08:02:00,CNR5796107236,Driver Canceled,CUST54014,Mini,Kalyan Nagar,Hennur,,,0,,1,More than permitted people in there,0,,,,,
2025-02-08,16:22:00,CNR8184673690,Success,CUST27685,eBike,Rajajinagar,Hoodi,12.3523217929527,15.8001897439061,0,,0,,0,,20.9986421612659,4.2,3.9,1359
2025-02-11,10:18:00,CNR9935705808,Success,CUST30829,Prime Plus,CV Raman Nagar,Basavanagudi,4.04657570835005,15.7417097899775,0,,0,,0,,20.6940412723733,4.4,5,145
2025-02-28,05:32:00,CNR8428607061,Success,CUST52655,Mini,RT Nagar,Arekere,9.74412011724241,8.76627865063279,0,,0,,0,,11.2105411484212,5,3.7,363
2025-02-03,04:27:00,CNR8371189362,Incomplete,CUST17661,Prime Sedan,Banashankari,Kanakapura Road,,,0,,0,,1,Other Issue,,,,
2025-02-18,03:56:00,CNR9525033644,Success,CUST22112,Prime Plus,Chikbanavara,Kammanahalli,12.3922618552697,11.6591580277266,0,,0,,0,,16.3835651254175,3.7,5,221
2025-02-04,20:47:00,CNR9501228366,Driver Canceled,CUST85245,Prime Sedan,Indiranagar,Bagmane Tech Park,,,0,,1,,0,,,,,
2025-02-14,19:03:00,CNR6612261134,Driver Canceled,CUST21253,Auto,Indiranagar,Kaggadasapura,,,0,,1,Customer was coughing/sick,0,,,,,
2025-02-18,03:27:00,CNR7988156938,Customer Canceled,CUST93702,eBike,Vidyaranyapura,Varthur,,,1,Driver is not moving towards pickup location,0,,0,,,,,
2025-02-23,22:17:00,CNR3719019900,Success,CUST22854,Bike,Girinagar,Ulsoor,2.21351691005533,2.56609825641363,0,,0,,0,,28.9275324387687,3.2,4.7,1339
2025-02-12,19:19:00,CNR2143891401,Driver Canceled,CUST68967,eBike,Kammanahalli,Richmond Town,,,0,,1,Personal & Car related issue,0,,,,,
2025-02-28,10:29:00,CNR3995815409,Success,CUST20724,Prime Sedan,Electronic City,CV Raman Nagar,14.3943663292385,18.9366905157662,0,,0,,0,,2.71209701915809,4.3,3.1,1591
2025-02-12,17:35:00,CNR5596346331,Customer Canceled,CUST40969,Mini,Basavanagudi,Sadashivanagar,,,1,Driver asked to cancel,0,,0,,,,,
2025-02-27,10:51:00,CNR6437158049,Success,CUST95780,Mini,Whitefield,Hulimavu,5.33581909483937,17.8784524583331,0,,0,,0,,7.96784768700999,3.3,4.2,1781
2025-02-28,09:03:00,CNR5284733043,Success,CUST99626,Auto,Bannerghatta,Kalyan Nagar,12.5737124373442,3.62695223303564,0,,0,,0,,12.3118677202999,4.3,3.4,451
2025-02-08,18:54:00,CNR1064133179,Success,CUST64059,Bike,Benson Town,Indiranagar,10.5695763680538,9.71512662550985,0,,0,,0,,5.49254097929484,4.7,3.6,434
2025-02-09,16:13:00,CNR8064800008,Driver Canceled,CUST45610,Prime Plus,JP Nagar,Benson Town,,,0,,1,Personal & Car related issue,0,,,,,
2025-02-12,17:44:00,CNR8889274262,Driver Canceled,CUST72195,Bike,Bagmane Tech Park,Bagmane Tech Park,,,0,,1,Customer was coughing/sick,0,,,,,
2025-02-18,19:52:00,CNR7803584801,Success,CUST86892,Prime Sedan,Hulimavu,Domlur,11.058896106128,14.9390226785856,0,,0,,0,,2.74873990081542,3.5,4.3,391
2025-02-05,00:53:00,CNR8201397087,Incomplete,CUST17361,Auto,Hulimavu,Kalyan Nagar,,,0,,0,,1,Vehicle Breakdown,,,,
2025-02-18,11:14:00,CNR6494165692,Success,CUST85938,Mini,Hebbal,RT Nagar,9.72501766919555,7.17947138887846,0,,0,,0,,25.905300001948,3.2,4,625
2025-02-01,02:39:00,CNR6064023790,Customer Canceled,CUST24600,Mini,Girinagar,Jakkur,,,1,Driver is not moving towards pickup location,0,,0,,,,,
2025-02-20,10:08:00,CNR3780503049,Driver Canceled,CUST62197,eBike,Mahadevapura,Bellandur,,,0,,1,Customer was coughing/sick,0,,,,,
2025-02-25,20:32:00,CNR6049886446,Customer Canceled,CUST98574,Bike,Girinagar,Electronic City,,,1,AC is not working,0,,0,,,,,
2025-02-10,19:56:00,CNR7947573392,Success,CUST47405,Prime Sedan,Koramangala,Kanakapura Road,9.91495622310476,12.5149384486942,0,,0,,0,,15.1066524760518,3.8,3.4,356
2025-02-18,08:14:00,CNR2344051226,Success,CUST76495,Prime SUV,Jayanagar,Electronic City,4.94392183506888,2.64507455934343,0,,0,,0,,20.3991111469005,3.1,3.3,803
2025-02-14,11:24:00,CNR3610627121,Success,CUST86358,Bike,Varthur,HSR Layout,11.3553470021994,6.32899587034992,0,,0,,0,,20.6736963538229,4.3,4.1,467
2025-02-06,10:13:00,CNR1080409888,Success,CUST35785,Bike,Bellandur,Indiranagar,7.85601194788969,12.5012045592594,0,,0,,0,,21.3827807559993,5,3.5,884
2025-02-11,11:00:00,CNR2196218396,Success,CUST29855,Mini,Ulsoor,Basaveshwaranagar,2.68657057788062,13.3458507637768,0,,0,,0,,10.3588036627988,3.4,3.2,1227
2025-02-19,21:33:00,CNR9867967122,Success,CUST22550,Prime Plus,Vijayanagar,Malleshwaram,8.0045196737003,2.61111978847252,0,,0,,0,,26.7349827388918,4.9,4.1,1538
2025-02-04,23:24:00,CNR1369231773,Success,CUST78474,Prime Sedan,Sarjapur,Varthur,9.73787149977586,14.5563402207977,0,,0,,0,,6.23919263925006,3.2,4.8,237
2025-02-08,02:28:00,CNR6205923104,Success,CUST89245,Mini,Ramamurthy Nagar,Jayanagar,5.35827395072736,10.8104872898387,0,,0,,0,,12.999564582814,4.2,4.2,362
2025-02-25,13:39:00,CNR3911468253,Driver Canceled,CUST13270,Bike,Fraser Town,Jayanagar,,,0,,1,More than permitted people in there,0,,,,,
2025-02-19,14:26:00,CNR5314084294,Success,CUST47226,Mini,Bagmane Tech Park,Bellandur,14.2707963727434,13.8283732143083,0,,0,,0,,21.2045746379792,4.6,3.6,327
2025-02-11,19:50:00,CNR1389196281,Success,CUST85373,Bike,Hoodi,Kammanahalli,6.25442172025109,9.91682347708197,0,,0,,0,,22.4156884374808,5,4.1,154
2025-02-14,23:18:00,CNR1756687950,Success,CUST39978,Auto,Varthur,Rajajinagar,14.2233313276126,8.95188495341022,0,,0,,0,,16.8551132389198,3.3,4.1,1820
2025-02-27,18:07:00,CNR3316081390,Success,CUST65700,Prime Sedan,Brookefield,Whitefield,7.67243749550894,7.31867842867727,0,,0,,0,,2.63119396529061,3.9,3.8,440
2025-02-03,14:04:00,CNR6803837204,Driver Canceled,CUST54985,Prime Sedan,Vidyaranyapura,Brookefield,,,0,,1,Customer was coughing/sick,0,,,,,
2025-02-10,17:04:00,CNR2035072468,Success,CUST90756,Mini,Hennur,Electronic City,10.392290754635,13.8446543369388,0,,0,,0,,2.25559796857016,4.7,4.6,506
2025-02-10,14:32:00,CNR8284301554,Success,CUST46250,Mini,Rajajinagar,Whitefield,9.19481809772751,7.63166234933857,0,,0,,0,,19.1207743758348,4.8,3.5,267
2025-02-09,13:20:00,CNR7955818587,Success,CUST99866,Prime SUV,HSR Layout,Basavanagudi,14.8264819835903,2.4093747108108,0,,0,,0,,9.76739889548058,3.6,4.2,474
2025-02-09,23:25:00,CNR5415988531,Success,CUST36905,Prime Sedan,BTM Layout,Yelahanka,13.5802413620987,5.6527015113372,0,,0,,0,,27.9437842453033,3.7,3.1,1546
2025-02-09,08:47:00,CNR6901970190,Customer Canceled,CUST27568,Prime Plus,Shantinagar,BTM Layout,,,1,AC is not working,0,,0,,,,,
2025-02-15,05:49:00,CNR5471431277,Success,CUST17508,eBike,Malleshwaram,Basaveshwaranagar,10.8605653315358,7.70587649363509,0,,0,,0,,13.7090513424054,3.9,4.1,1659
2025-02-20,03:24:00,CNR2671252805,Success,CUST58205,eBike,Girinagar,Vidyaranyapura,4.4725418326539,9.35749418471322,0,,0,,0,,16.3581660947877,3.5,3.4,210
2025-02-16,13:50:00,CNR4001954017,Success,CUST68446,Auto,JP Nagar,Fraser Town,10.7275882181272,19.6099160363618,0,,0,,0,,28.7117772870426,4,3.4,162
2025-02-04,13:57:00,CNR5401638349,Success,CUST63048,Auto,Jakkur,Yelahanka,3.01045880629692,4.5532866698504,0,,0,,0,,22.4774416134037,3.9,4.5,1831
2025-02-11,11:15:00,CNR1835040454,Success,CUST86321,Prime Sedan,Shantinagar,Kaggadasapura,7.0741136261245,13.326512429875,0,,0,,0,,6.77548510733564,4.7,3.7,219
2025-02-08,16:45:00,CNR6823994278,Success,CUST95646,eBike,Bellandur,Kanakapura Road,11.1594165676726,15.8899185601977,0,,0,,0,,20.8970128504034,3.6,4.4,292
2025-02-01,09:46:00,CNR6571457043,Driver Canceled,CUST46217,Prime SUV,Banashankari,Kalyan Nagar,,,0,,1,More than permitted people in there,0,,,,,
2025-02-16,18:13:00,CNR8062293448,Success,CUST31452,Prime Sedan,Shantinagar,Nagavara,12.1928414781629,16.4328601742989,0,,0,,0,,18.9512132003104,4,4,152
2025-02-23,19:52:00,CNR5461866770,Success,CUST74116,eBike,Ulsoor,Banashankari,6.07311897364212,5.85929907795711,0,,0,,0,,2.12812655749061,3.5,4.9,559
2025-02-23,04:21:00,CNR2637526863,Success,CUST36758,Mini,Yelahanka,Bellandur,9.58143212613156,7.32494760424665,0,,0,,0,,17.6151811673022,4.8,4.7,254
2025-02-02,14:09:00,CNR3220667060,Success,CUST56612,Prime Plus,Basavanagudi,Kanakapura Road,5.18510414887659,6.65790524849235,0,,0,,0,,16.5671960971059,4.5,3,880
2025-02-26,11:55:00,CNR4104457225,Success,CUST16233,Prime Sedan,Sarjapur,Kaggadasapura,9.41784171327525,9.03325091890513,0,,0,,0,,29.3232056713,4.3,3.4,549
2025-02-28,21:44:00,CNR9815309324,Success,CUST52693,Prime Sedan,Ramamurthy Nagar,Basaveshwaranagar,9.77272885140035,13.4332179567546,0,,0,,0,,19.3259927814156,3.9,4.6,410
2025-02-05,20:31:00,CNR8493781991,Driver Canceled,CUST34562,Prime Plus,Vijayanagar,Hoodi,,,0,,1,,0,,,,,
2025-02-02,04:25:00,CNR4142477348,Success,CUST40408,Prime Plus,Chikbanavara,Vidyaranyapura,4.8333742780217,5.25372031530741,0,,0,,0,,12.3392509214069,4.1,4.2,456
2025-02-17,13:47:00,CNR4444901183,Success,CUST95274,Prime Sedan,Girinagar,Hoodi,8.99201786954265,7.96497826245125,0,,0,,0,,15.9112920268176,4.5,4.5,1315
2025-02-02,04:30:00,CNR2766916548,Customer Canceled,CUST58712,Auto,Vidyaranyapura,Benson Town,,,1,AC is not working,0,,0,,,,,
2025-02-05,11:20:00,CNR3049339219,Success,CUST38966,Bike,Whitefield,Vijayanagar,2.59899031740311,5.92988766225856,0,,0,,0,,9.86547798025631,4.8,4.9,150
2025-02-10,07:37:00,CNR5942669132,Success,CUST63933,Bike,Bommanahalli,Fraser Town,4.21255448272713,15.0522387127439,0,,0,,0,,28.3883657379049,4.6,3.9,1707
2025-02-02,07:54:00,CNR8353799551,Success,CUST72298,eBike,Bommanahalli,Malleshwaram,13.6701116075708,17.8902243944044,0,,0,,0,,16.2639906187753,3.7,4.8,1624
2025-02-05,05:03:00,CNR1037688403,Success,CUST84064,Prime Plus,Arekere,Ramamurthy Nagar,5.59301109750112,15.2797477566935,0,,0,,0,,16.1713478671234,3.2,4.6,228
2025-02-03,23:45:00,CNR9511668724,Success,CUST14913,Prime SUV,Banashankari,Fraser Town,4.65260525477819,7.41357512012929,0,,0,,0,,19.6964509276513,3.7,3.1,1031
2025-02-04,10:04:00,CNR9003174810,Driver Canceled,CUST69641,eBike,Kanakapura Road,Sarjapur,,,0,,1,,0,,,,,
2025-02-26,00:17:00,CNR5953385742,Customer Canceled,CUST99490,Mini,Kaggadasapura,Banashankari,,,1,Wrong Address,0,,0,,,,,
2025-02-11,09:23:00,CNR3577414626,Success,CUST49007,Auto,Koramangala,Whitefield,7.17781122463516,19.7052460456345,0,,0,,0,,18.083611919642,4.4,3.1,1998
2025-02-07,16:25:00,CNR3550380024,Driver Canceled,CUST27792,Auto,Electronic City,Bommanahalli,,,0,,1,Customer was coughing/sick,0,,,,,
2025-02-28,04:34:00,CNR9223141364,Success,CUST64356,Mini,Benson Town,Hulimavu,14.1359706959881,9.01370514678997,0,,0,,0,,17.5667075705848,3.9,4.7,332
2025-02-13,07:29:00,CNR8374822974,Driver Canceled,CUST78628,Auto,Hulimavu,Varthur,,,0,,1,More than permitted people in there,0,,,,,
2025-02-12,22:59:00,CNR7433822679,Customer Canceled,CUST29924,Auto,Bagmane Tech Park,CV Raman Nagar,,,1,,0,,0,,,,,
